K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.2,0.1,2.59995,-0.799986,1.59997,110,0.707107,0.707107,0,1.59997,1.69997,2.49995,0,0,1,n
0.2,0.1,2.59995,-0.799986,1.59997,111,0.57735,0.57735,0.57735,1.66664,1.66664,2.46662,8.88178e-16,0,1,n
0.2,0.15,2.99995,-0.999982,2.19996,100,1,0,0,2.19996,2.19996,2.99995,0,0,1,n
0.2,0.15,2.99995,-0.999982,2.19996,110,0.707107,0.707107,0,1.99997,2.19996,3.19994,0,0,1,n
0.2,0.15,2.99995,-0.999982,2.19996,111,0.57735,0.57735,0.57735,2.06663,2.06663,3.26661,-3.33067e-16,1.60896e-16,1,n
0.2,0.2,3.39994,-1.19998,2.79995,100,1,0,0,2.79995,2.79995,3.39994,0,0,1,n
0.2,0.2,3.39994,-1.19998,2.79995,110,0.707107,0.707107,0,2.29996,2.79995,3.89993,0,0,1,n
0.2,0.2,3.39994,-1.19998,2.79995,111,0.57735,0.57735,0.57735,2.46662,2.46662,4.06659,-1.11022e-16,-2.77556e-16,1,n
0.2,0.25,3.79993,-1.39998,3.39994,100,1,0,0,3.39994,3.39994,3.79993,0,0,1,n
0.2,0.25,3.79993,-1.39998,3.39994,110,0.707107,0.707107,0,2.59995,3.39994,4.59991,0,0,1,n
0.2,0.25,3.79993,-1.39998,3.39994,111,0.57735,0.57735,0.57735,2.86662,2.86662,4.86658,-5.55112e-17,2.77556e-17,1,n
0.2,0.3,4.19993,-1.59997,3.99993,100,1,0,0,3.99993,3.99993,4.19993,0,0,1,n
0.2,0.3,4.19993,-1.59997,3.99993,110,0.707107,0.707107,0,2.89995,3.99993,5.29991,0,0,1,n
0.2,0.3,4.19993,-1.59997,3.99993,111,0.57735,0.57735,0.57735,3.26661,3.26661,5.66657,-5.55112e-17,5.55112e-17,1,n
0.2,0.35,4.59992,-1.79997,4.59992,100,1,0,0,4.59992,4.59992,4.59992,1,0,0,=
0.2,0.35,4.59992,-1.79997,4.59992,110,0.707107,0.707107,0,3.19994,4.59992,5.99989,0,0,1,n
0.2,0.35,4.59992,-1.79997,4.59992,111,0.57735,0.57735,0.57735,3.6666,3.6666,6.46655,5.55112e-17,5.55112e-17,1,n
0.2,0.4,4.99991,-1.99996,5.19991,100,1,0,0,4.99991,5.19991,5.19991,1,0,0,y
0.2,0.4,4.99991,-1.99996,5.19991,110,0.707107,0.707107,0,3.49993,5.19991,6.69988,0,0,1,n
0.2,0.4,4.99991,-1.99996,5.19991,111,0.57735,0.57735,0.57735,4.06659,4.06659,7.26654,5.55112e-17,-2.22045e-16,1,n
0.2,0.45,5.39991,-2.19996,5.7999,100,1,0,0,5.39991,5.7999,5.7999,1,0,0,y
0.2,0.45,5.39991,-2.19996,5.7999,110,0.707107,0.707107,0,3.79993,5.7999,7.39987,0,0,1,n
0.2,0.45,5.39991,-2.19996,5.7999,111,0.57735,0.57735,0.57735,4.46659,4.46659,8.06653,5.55112e-17,-1.66533e-16,1,n
0.2,0.5,5.7999,-2.39996,6.39989,100,1,0,0,5.7999,6.39989,6.39989,1,0,0,y
0.2,0.5,5.7999,-2.39996,6.39989,110,0.707107,0.707107,0,4.09993,6.39989,8.09986,0,0,1,n
